label,text
ham,"Hi, are we still meeting at 3 PM today?"
ham,"Please find the project report attached."
spam,"Congratulations! You have won a free prize. Click now to claim."
ham,"Can you send me the notes from today's class?"
spam,"URGENT! Your account has been selected for a cash reward. Claim now!"
ham,"Don't forget about our meeting tomorrow morning."
spam,"You have won $1000! Click this link immediately to receive your money."
ham,"Thank you for your help with the assignment."
spam,"Limited time offer! Buy now and get 90 percent discount."
ham,"I will call you when I arrive."
spam,"Congratulations winner! You have been selected for a free iPhone."
ham,"The presentation has been scheduled for Monday."
spam,"Make money quickly from home. No experience required. Join now!"
ham,"Please review the document and share your feedback."
spam,"You are eligible for an exclusive reward. Click here now."
ham,"Happy birthday! Hope you have a wonderful day."
spam,"Free vacation offer! Claim your ticket before it expires."
ham,"Can we reschedule our appointment for Friday?"
spam,"Your bank account will be closed. Verify your information immediately."
ham,"The class has been cancelled for today."
spam,"Get rich fast with this amazing investment opportunity."
ham,"I have completed the work you requested."
spam,"Exclusive offer! You have been chosen to receive a cash bonus."
ham,"Please let me know when you are available."
spam,"Click now to win a brand new smartphone."
ham,"The meeting link has been sent to your email."
spam,"Earn thousands of dollars every week from home."
ham,"I will send the updated file tomorrow."
spam,"Congratulations! Claim your lottery prize now."
ham,"Thank you for attending the meeting."
spam,"Your payment failed. Update your details immediately."
ham,"Please remember to submit the assignment before Friday."
spam,"You have been selected for a special reward. Click here."
ham,"Let's have lunch together tomorrow."
spam,"Act now! This offer expires today."
ham,"I received your message and will reply soon."
spam,"Get a free gift card by clicking this link."
ham,"The interview has been confirmed for next week."
spam,"Winner! Claim your cash reward before it is too late."
ham,"Please check the latest updates in the shared folder."
spam,"Make money online without any investment."
ham,"I will be working from home today."
spam,"Free entry into our competition. You could win big!"
ham,"Can you join the video call at 10 AM?"
spam,"Your account requires urgent verification. Click now."
ham,"The deadline for the project has been extended."
spam,"Buy cheap products with our exclusive discount offer."
ham,"Please send me the invoice when possible."
spam,"You have won a free luxury vacation."
ham,"I appreciate your quick response."
spam,"Get instant approval for a cash loan today."
ham,"Let's discuss the project requirements tomorrow."
spam,"Click here to receive your exclusive bonus now."
ham,"The report is ready for your review."
spam,"Congratulations! You are our lucky winner."
ham,"I have attached the requested documents."
spam,"Earn money fast with our guaranteed system."
ham,"The workshop will begin at 9 AM."
spam,"Your prize is waiting. Claim it immediately!"
ham,"Please confirm your attendance."
spam,"Free money available now. Click here to claim."
